topic	reference PMID
100	10066453
100	11023903
100	11321159
100	11327801
100	11575795
100	11772607
100	12099377
100	12147133
100	12194203
100	12483315
100	12565999
100	12625756
100	12625758
100	12625759
100	12648161
100	7866872
100	7873174
100	8049351
100	8158003
100	9336174
100	9482256
100	9724707
106	10372380
106	10498903
106	10579938
106	10591994
106	11033083
106	11230169
106	11313463
106	11564866
106	11680700
106	11726209
106	11752617
106	11799066
106	12000849
106	12054902
106	12054903
106	12054904
106	12153140
106	12415115
106	12500542
106	12527906
106	12533679
106	12562764
106	12600448
106	12618455
106	12624958
106	12627232
106	12629508
106	12799440
106	12887906
106	12887907
106	14521963
106	7504954
106	7903220
106	8257695
106	8626478
106	8902805
106	8993033
106	8993035
106	9099751
106	9169194
106	9230703
106	9358188
106	9601011
106	9642275
113	10526212
113	10794173
113	10880451
113	10924462
113	11406273
113	11504715
113	11522817
113	7837983
113	9653450
113	9705497
116	10026153
116	10229198
116	10401676
116	10430101
116	10435587
116	10438568
116	10459850
116	10669726
116	10674396
116	10766344
116	10791772
116	10851068
116	10919668
116	10985759
116	11005099
116	11102895
116	11149601
116	11212254
116	11245436
116	11500939
116	11559546
116	11577168
116	11788654
116	11885994
116	12019176
116	12031683
116	12105987
116	12188907
116	12360481
116	12374697
116	12379772
116	12447687
116	12566306
116	12746329
116	12937141
116	12941837
116	14520693
116	7529048
116	7664648
116	7743492
116	8286193
116	8607861
116	8665514
116	8692980
116	8710868
116	9056422
116	9205064
116	9342439
116	9394418
116	9413807
116	9515800
116	9516080
116	9545345
116	9699666
116	9766646
116	9815544
116	9815941
116	9850076
118	10407185
118	10491283
118	10623661
118	10818521
118	10914688
118	11114266
118	11245811
118	11329064
118	11578774
118	12082048
118	12099697
118	12119423
118	12480736
118	12485912
118	12498970
118	12626500
118	12719626
118	9237543
118	9335500
118	9852574
119	10064333
119	10548311
119	10564681
119	10755383
119	10779639
119	10862521
119	10868690
119	11045791
119	11056682
119	11169956
119	11303592
119	11408954
119	11585745
119	11700265
119	11773866
119	11810042
119	11872636
119	11934439
119	12150456
119	12296511
119	12430181
119	12508556
119	12552971
119	12556960
119	12611461
119	12860276
119	12873994
119	14504203
119	14562023
119	7627950
119	7836799
119	8068041
119	9180857
119	9209662
119	9232338
119	9426059
119	9539246
119	9679567
119	9726005
119	9815734
119	9825836
119	9888479
121	10477523
121	11593018
121	11712297
121	11773071
121	11779501
121	11925436
121	11927591
121	11943588
121	12431996
121	12832489
121	14560035
121	8944023
121	9342365
121	9425226
121	9798686
121	9832560
121	9894790
122	10731146
122	10899006
122	11166179
122	11237529
122	11470413
122	11514192
122	11564752
122	11584277
122	11689433
122	11912492
122	12058019
122	12372335
122	12388762
122	12504226
122	12589682
122	7887918
122	8033082
122	8033083
122	9654054
128	10196584
128	10369475
128	11067972
128	12059965
128	12081656
128	12115687
128	12548707
128	12582069
128	7494864
128	7535398
128	7536844
128	7562607
128	7754689
128	7910202
128	8730588
128	8822545
128	8930365
128	9242288
128	9744963
128	9844003
128	9862934
129	10024886
129	10319275
129	10321980
129	10329542
129	11090154
129	11256746
129	11258568
129	11355893
129	11401490
129	11585785
129	11739693
129	11745330
129	7511818
129	7705744
129	9243372
129	9782314
137	10229198
137	10886503
137	11102895
137	11121124
137	11181540
137	11423485
137	8070613
137	8267620
137	8881457
137	9003010
137	9112018
137	9886492
139	10068631
139	10198418
139	10535317
139	11001832
139	11087631
139	11846482
139	12165857
139	12682085
139	12783789
139	8657282
139	8855235
139	9405108
139	9690097
139	9697851
139	9732293
140	10037104
140	10198641
140	10203660
140	10739756
140	11451557
140	11786575
140	8651293
140	8875986
140	8933332
140	8946903
140	8990217
140	9042909
140	9115959
140	9150153
141	10029099
141	10196373
141	10217265
141	10434302
141	10537061
141	10699173
141	10716661
141	10804212
141	10829080
141	10941183
141	10958656
141	10961047
141	10966117
141	11007884
141	11030759
141	11517213
141	11553930
141	11789098
141	11932021
141	12062094
141	12135980
141	12191472
141	12200414
141	12217951
141	12223539
141	12531510
141	12589027
141	12700167
141	12747895
141	12955844
141	13679594
141	9778247
141	9806905
141	9920660
145	10458611
145	10552257
145	11020209
145	11282968
145	11431960
145	11442359
145	12056812
145	12359500
145	12535700
145	12797957
